cells,patient_id,cell_type,treatment_group,Cohort,no.of.genes,no.of.reads
cy79_p5_CD45_neg_PDL1_neg_H10_S862_comb,Mel79,Mal,treatment.naive,Tirosh,4210,92285
Cy71_CD45_G09_S561_comb,Mel71,Mal,treatment.naive,Tirosh,4196,74205
cy80_CD45_neg_C09_S897_comb,Mel80,Mal,treatment.naive,Tirosh,7863,135491
Cy71_CD45_F11_S551_comb,Mel71,Mal,treatment.naive,Tirosh,3731,248294
cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_B04_S304_comb,Mel79,Mal,treatment.naive,Tirosh,5062,93077
cy78_CD45_neg_3_D08_S716_comb,Mel78,Mal,post.treatment,Tirosh,7515,508247
cy79_p5_CD45_neg_PDL1_pos_E03_S723_comb,Mel79,Mal,treatment.naive,Tirosh,4936,169859
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_F04_S160_comb,Mel79,Mal,treatment.naive,Tirosh,5036,47209
cy79_p4_CD45_neg_PDL1_pos_C12_S420_comb,Mel79,Mal,treatment.naive,Tirosh,3591,81888
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_C08_S128_comb,Mel79,Mal,treatment.naive,Tirosh,5286,53738
cy79_p5_CD45_neg_PDL1_pos_E08_S728_comb,Mel79,Mal,treatment.naive,Tirosh,7489,203684
cy80_CD45_neg_D07_S907_comb,Mel80,Mal,treatment.naive,Tirosh,5797,38874
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_F03_S63_comb,Mel79,Mal,treatment.naive,Tirosh,5269,70934
cy79_p5_CD45_neg_PDL1_neg_H07_S859_comb,Mel79,Mal,treatment.naive,Tirosh,6398,298091
cy80_CD45_neg_A03_S867_comb,Mel80,Mal,treatment.naive,Tirosh,7982,240672
Cy81_FNA_CD45_B10_S310_comb,Mel81,Mal,treatment.naive,Tirosh,4032,54866
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_H07_S187_comb,Mel79,Mal,treatment.naive,Tirosh,3885,24694
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_B07_S115_comb,Mel79,Mal,treatment.naive,Tirosh,6455,75227
cy79_p5_CD45_neg_PDL1_neg_G09_S849_comb,Mel79,Mal,treatment.naive,Tirosh,5282,281073
cy79_p5_CD45_neg_PDL1_neg_C09_S801_comb,Mel79,Mal,treatment.naive,Tirosh,3989,53893
CY88_5_E02_S722_comb,Mel88,Mal,post.treatment,Tirosh,5580,364714
cy80_CD45_neg_H09_S957_comb,Mel80,Mal,treatment.naive,Tirosh,8235,123837
cy53_1_CD45_neg_E12_S348_comb,Mel53,Mal,treatment.naive,Tirosh,5680,56158
cy80_CD45_neg_H02_S950_comb,Mel80,Mal,treatment.naive,Tirosh,6900,95402
cy78_CD45_neg_2_C05_S605_comb,Mel78,Mal,post.treatment,Tirosh,4036,36894
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_G04_S172_comb,Mel79,Mal,treatment.naive,Tirosh,4894,34649
cy79_p5_CD45_neg_PDL1_neg_G03_S843_comb,Mel79,Mal,treatment.naive,Tirosh,3482,48473
cy78_CD45_neg_1_G04_S556_comb,Mel78,Mal,post.treatment,Tirosh,8855,569213
cy78_CD45_neg_1_D05_S521_comb,Mel78,Mal,post.treatment,Tirosh,6741,216504
Cy71_CD45_H10_S574_comb,Mel71,Mal,treatment.naive,Tirosh,4819,125700
cy79_p4_CD45_neg_PDL1_pos_D12_S432_comb,Mel79,Mal,treatment.naive,Tirosh,2997,38924
cy81_Bulk_CD45_neg_C08_S128_comb,Mel81,Mal,treatment.naive,Tirosh,5674,56996
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_G07_S79_comb,Mel79,Mal,treatment.naive,Tirosh,7357,98784
cy79_p4_CD45_neg_PDL1_pos_A08_S392_comb,Mel79,Mal,treatment.naive,Tirosh,5612,331002
cy78_CD45_neg_1_C10_S514_comb,Mel78,Mal,post.treatment,Tirosh,7788,281007
cy78_CD45_neg_3_D09_S717_comb,Mel78,Mal,post.treatment,Tirosh,5340,103573
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_G12_S180_comb,Mel79,Mal,treatment.naive,Tirosh,2207,19367
Cy81_FNA_CD45_H10_S382_comb,Mel81,Mal,treatment.naive,Tirosh,5753,497764
Cy80_II_CD45_B02_S878_comb,Mel80,Mal,treatment.naive,Tirosh,5716,220167
cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_B10_S310_comb,Mel79,Mal,treatment.naive,Tirosh,3096,31046
cy80_CD45_neg_E01_S913_comb,Mel80,Mal,treatment.naive,Tirosh,4049,16382
Cy81_FNA_CD45_B11_S311_comb,Mel81,Mal,treatment.naive,Tirosh,5483,213967
cy81_Bulk_CD45_neg_C04_S124_comb,Mel81,Mal,treatment.naive,Tirosh,4416,241501
CY88_3_G07_S655_comb,Mel88,Mal,post.treatment,Tirosh,5248,161389
Cy81_Bulk_CD45_B12_S120_comb,Mel81,Mal,treatment.naive,Tirosh,7365,593686
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_G03_S75_comb,Mel79,Mal,treatment.naive,Tirosh,6305,72087
cy79_p4_CD45_neg_PDL1_pos_F11_S455_comb,Mel79,Mal,treatment.naive,Tirosh,6131,231050
cy78_CD45_neg_3_B08_S692_comb,Mel78,Mal,post.treatment,Tirosh,6198,222644
cy78_CD45_neg_3_C09_S705_comb,Mel78,Mal,post.treatment,Tirosh,7005,219829
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_G09_S81_comb,Mel79,Mal,treatment.naive,Tirosh,5582,79702
CY88_5_F11_S743_comb,Mel88,Mal,post.treatment,Tirosh,6329,174721
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_B04_S112_comb,Mel79,Mal,treatment.naive,Tirosh,5177,69746
cy80_CD45_neg_H03_S951_comb,Mel80,Mal,treatment.naive,Tirosh,7637,134605
cy78_CD45_neg_1_H02_S566_comb,Mel78,Mal,post.treatment,Tirosh,8073,541156
CY88_5_C09_S705_comb,Mel88,Mal,post.treatment,Tirosh,6612,253949
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_C10_S34_comb,Mel79,Mal,treatment.naive,Tirosh,6095,88328
cy81_Bulk_CD45_neg_B03_S111_comb,Mel81,Mal,treatment.naive,Tirosh,7998,471853
cy81_Bulk_CD45_neg_E08_S152_comb,Mel81,Mal,treatment.naive,Tirosh,7427,252885
cy84_Primary_CD45_neg_G07_S1039_comb,Mel84,Mal,treatment.naive,Tirosh,4561,245713
cy79_p4_CD45_neg_PDL1_neg_D06_S1098_comb,Mel79,Mal,treatment.naive,Tirosh,4922,118948
cy79_p4_CD45_neg_PDL1_neg_B09_S1077_comb,Mel79,Mal,treatment.naive,Tirosh,6235,118885
Cy71_CD45_A10_S490_comb,Mel71,Mal,treatment.naive,Tirosh,4064,65949
cy79_p4_CD45_neg_PDL1_pos_B10_S406_comb,Mel79,Mal,treatment.naive,Tirosh,5153,194024
Cy80_II_CD45_F12_S936_comb,Mel80,Mal,treatment.naive,Tirosh,6278,177263
cy80_CD45_neg_D10_S910_comb,Mel80,Mal,treatment.naive,Tirosh,5734,50386
Cy80_II_CD45_B06_S882_comb,Mel80,Mal,treatment.naive,Tirosh,6993,131707
cy79_p5_CD45_neg_PDL1_pos_F02_S734_comb,Mel79,Mal,treatment.naive,Tirosh,5502,118858
cy79_p5_CD45_neg_PDL1_neg_G07_S847_comb,Mel79,Mal,treatment.naive,Tirosh,4767,123764
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_E11_S59_comb,Mel79,Mal,treatment.naive,Tirosh,6594,108185
Cy71_CD45_F10_S550_comb,Mel71,Mal,treatment.naive,Tirosh,5477,100511
cy84_Primary_CD45_neg_A03_S963_comb,Mel84,Mal,treatment.naive,Tirosh,3735,334618
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_C07_S127_comb,Mel79,Mal,treatment.naive,Tirosh,5457,54580
Cy71_CD45_D09_S525_comb,Mel71,Mal,treatment.naive,Tirosh,4853,131808
cy79_p4_CD45_neg_PDL1_neg_H03_S1143_comb,Mel79,Mal,treatment.naive,Tirosh,3465,86220
cy79_p4_CD45_neg_PDL1_neg_H10_S1150_comb,Mel79,Mal,treatment.naive,Tirosh,4191,70533
CY89FNAQ2_B10_S406_comb,Mel89,Mal,treatment.naive,Tirosh,8461,144047
cy79_p4_CD45_neg_PDL1_pos_D02_S422_comb,Mel79,Mal,treatment.naive,Tirosh,4755,141994
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_D10_S46_comb,Mel79,Mal,treatment.naive,Tirosh,6651,119735
Cy80_II_CD45_F07_S931_comb,Mel80,Mal,treatment.naive,Tirosh,5503,95453
cy79_p4_CD45_neg_PDL1_pos_A11_S395_comb,Mel79,Mal,treatment.naive,Tirosh,6319,169534
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_G06_S78_comb,Mel79,Mal,treatment.naive,Tirosh,6764,78170
CY88_5_B03_S687_comb,Mel88,Mal,post.treatment,Tirosh,5794,305465
Cy71_CD45_E10_S538_comb,Mel71,Mal,treatment.naive,Tirosh,4576,144780
cy84_Primary_CD45_neg_E12_S1020_comb,Mel84,Mal,treatment.naive,Tirosh,5719,101948
CY89NEG_A03_S3_comb,Mel89,Mal,treatment.naive,Tirosh,5899,394721
cy79_p4_CD45_neg_PDL1_neg_G07_S1135_comb,Mel79,Mal,treatment.naive,Tirosh,5813,30527
cy78_CD45_neg_1_F05_S545_comb,Mel78,Mal,post.treatment,Tirosh,4903,62940
CY88_5_B07_S691_comb,Mel88,Mal,post.treatment,Tirosh,5653,297693
cy79_p4_CD45_neg_PDL1_pos_C10_S418_comb,Mel79,Mal,treatment.naive,Tirosh,3316,14006
cy79_p4_CD45_neg_PDL1_pos_E02_S434_comb,Mel79,Mal,treatment.naive,Tirosh,4464,204150
CY88_5_B01_S685_comb,Mel88,Mal,post.treatment,Tirosh,6439,481256
cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_H02_S374_comb,Mel79,Mal,treatment.naive,Tirosh,6041,123392
cy79_p4_CD45_neg_PDL1_pos_F09_S453_comb,Mel79,Mal,treatment.naive,Tirosh,4897,217219
CY89FNAQ2_C01_S409_comb,Mel89,Mal,treatment.naive,Tirosh,7706,550112
Cy80_II_CD45_B12_S888_comb,Mel80,Mal,treatment.naive,Tirosh,4695,143807
cy80_CD45_neg_D09_S909_comb,Mel80,Mal,treatment.naive,Tirosh,8289,167530
CY89CORE11_G08_S176_comb,Mel89,Mal,treatment.naive,Tirosh,7452,659741
CY88_3_E10_S634_comb,Mel88,Mal,post.treatment,Tirosh,7637,536643
cy79_p4_CD45_neg_PDL1_neg_C11_S1091_comb,Mel79,Mal,treatment.naive,Tirosh,5223,188498
Cy80_II_CD45_A09_S873_comb,Mel80,Mal,treatment.naive,Tirosh,5498,191145
cy79_p5_CD45_neg_PDL1_pos_B04_S688_comb,Mel79,Mal,treatment.naive,Tirosh,4999,69561
cy79_p5_CD45_neg_PDL1_pos_E06_S726_comb,Mel79,Mal,treatment.naive,Tirosh,4468,139181
cy81_FNA_CD45_neg_G03_S1035_comb,Mel81,Mal,treatment.naive,Tirosh,2790,39014
cy82_CD45_neg_1_D05_S233_comb,Mel82,Mal,treatment.naive,Tirosh,5250,154755
cy79_p5_CD45_neg_PDL1_neg_F11_S839_comb,Mel79,Mal,treatment.naive,Tirosh,5146,160966
cy79_p5_CD45_neg_PDL1_neg_F02_S830_comb,Mel79,Mal,treatment.naive,Tirosh,3377,88495
cy81_FNA_CD45_neg_G09_S1041_comb,Mel81,Mal,treatment.naive,Tirosh,6871,282966
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_B09_S117_comb,Mel79,Mal,treatment.naive,Tirosh,5491,69242
CY89NEG_A02_S2_comb,Mel89,Mal,treatment.naive,Tirosh,5304,246388
cy78_CD45_neg_3_F12_S744_comb,Mel78,Mal,post.treatment,Tirosh,8316,271182
cy79_p4_CD45_neg_PDL1_pos_G03_S459_comb,Mel79,Mal,treatment.naive,Tirosh,6142,209219
Cy80_II_CD45_F11_S935_comb,Mel80,Mal,treatment.naive,Tirosh,5832,135828
CY89NEG_E02_S50_comb,Mel89,Mal,treatment.naive,Tirosh,7667,745343
cy79_p3_CD45_neg_PDL1_neg_A11_S203_comb,Mel79,Mal,treatment.naive,Tirosh,6684,721570
CY89CORE11_F07_S163_comb,Mel89,Mal,treatment.naive,Tirosh,5472,166858
cy78_CD45_neg_3_A05_S677_comb,Mel78,Mal,post.treatment,Tirosh,9112,538061
CY89CORE11_A09_S105_comb,Mel89,Mal,treatment.naive,Tirosh,5897,470671
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_H09_S189_comb,Mel79,Mal,treatment.naive,Tirosh,5169,58782
cy78_CD45_neg_1_D09_S525_comb,Mel78,Mal,post.treatment,Tirosh,6647,235979
cy79_p5_CD45_neg_PDL1_neg_A12_S780_comb,Mel79,Mal,treatment.naive,Tirosh,3715,45377
cy78_CD45_neg_1_D12_S528_comb,Mel78,Mal,post.treatment,Tirosh,8341,428217
cy79_p4_CD45_neg_PDL1_neg_A08_S1064_comb,Mel79,Mal,treatment.naive,Tirosh,4048,69775
cy80_CD45_neg_D11_S911_comb,Mel80,Mal,treatment.naive,Tirosh,7411,175125
Cy81_Bulk_CD45_E03_S147_comb,Mel81,Mal,treatment.naive,Tirosh,7458,358574
CY89NEG_D12_S48_comb,Mel89,Mal,treatment.naive,Tirosh,6952,516350
cy79_p4_CD45_neg_PDL1_neg_E01_S1105_comb,Mel79,Mal,treatment.naive,Tirosh,2695,19226
cy82_CD45_neg_3_D09_S813_comb,Mel82,Mal,treatment.naive,Tirosh,2459,133794
cy79_p4_CD45_neg_PDL1_neg_B03_S1071_comb,Mel79,Mal,treatment.naive,Tirosh,5818,201472
CY88_5_C08_S704_comb,Mel88,Mal,post.treatment,Tirosh,8087,461365
cy78_CD45_neg_3_C01_S697_comb,Mel78,Mal,post.treatment,Tirosh,6882,391540
cy79_p5_CD45_neg_PDL1_neg_A11_S779_comb,Mel79,Mal,treatment.naive,Tirosh,5480,72516
cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_B06_S306_comb,Mel79,Mal,treatment.naive,Tirosh,5031,70493
CY89CORE11_C08_S128_comb,Mel89,Mal,treatment.naive,Tirosh,7005,526255
cy79_p4_CD45_neg_PDL1_neg_D04_S1096_comb,Mel79,Mal,treatment.naive,Tirosh,4378,87484
cy80_CD45_neg_E06_S918_comb,Mel80,Mal,treatment.naive,Tirosh,4676,17176
Cy80_II_CD45_D04_S904_comb,Mel80,Mal,treatment.naive,Tirosh,6941,177295
CY89CORE11_D11_S143_comb,Mel89,Mal,treatment.naive,Tirosh,7095,373412
cy79_p5_CD45_neg_PDL1_pos_H03_S759_comb,Mel79,Mal,treatment.naive,Tirosh,4532,122307
cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_C05_S317_comb,Mel79,Mal,treatment.naive,Tirosh,4967,135765
cy79_p5_CD45_neg_PDL1_neg_A07_S775_comb,Mel79,Mal,treatment.naive,Tirosh,2151,53757
cy79_p4_CD45_neg_PDL1_pos_C05_S413_comb,Mel79,Mal,treatment.naive,Tirosh,4084,115786
cy79_p4_CD45_neg_PDL1_pos_D08_S428_comb,Mel79,Mal,treatment.naive,Tirosh,4591,215324
cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_D07_S331_comb,Mel79,Mal,treatment.naive,Tirosh,2968,14997
cy79_p5_CD45_neg_PDL1_pos_H11_S767_comb,Mel79,Mal,treatment.naive,Tirosh,3902,70796
cy80_CD45_neg_B04_S880_comb,Mel80,Mal,treatment.naive,Tirosh,9250,317048
Cy71_CD45_B12_S504_comb,Mel71,Mal,treatment.naive,Tirosh,2649,10276
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_A10_S106_comb,Mel79,Mal,treatment.naive,Tirosh,5490,58023
cy79_p4_CD45_neg_PDL1_neg_B10_S1078_comb,Mel79,Mal,treatment.naive,Tirosh,4642,169453
cy78_CD45_neg_3_A12_S684_comb,Mel78,Mal,post.treatment,Tirosh,7478,569821
CY88_5_F05_S737_comb,Mel88,Mal,post.treatment,Tirosh,5455,157479
CY88_5_C05_S701_comb,Mel88,Mal,post.treatment,Tirosh,5865,163157
cy53_1_CD45_neg_B07_S307_comb,Mel53,Mal,treatment.naive,Tirosh,6730,222553
CY88_3_G11_S659_comb,Mel88,Mal,post.treatment,Tirosh,3650,97495
Cy81_Bulk_CD45_A11_S107_comb,Mel81,Mal,treatment.naive,Tirosh,5110,720908
cy79_p3_CD45_neg_PDL1_neg_B03_S207_comb,Mel79,Mal,treatment.naive,Tirosh,6341,366279
CY89CORE11_H06_S186_comb,Mel89,Mal,treatment.naive,Tirosh,5777,169408
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_G08_S80_comb,Mel79,Mal,treatment.naive,Tirosh,4435,42210
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_E04_S52_comb,Mel79,Mal,treatment.naive,Tirosh,5400,84277
CY89FNAQ2_F12_S456_comb,Mel89,Mal,treatment.naive,Tirosh,6478,468635
cy81_FNA_CD45_neg_F12_S1032_comb,Mel81,Mal,treatment.naive,Tirosh,8271,215204
cy79_p4_CD45_neg_PDL1_neg_F02_S1118_comb,Mel79,Mal,treatment.naive,Tirosh,5840,208165
cy78_CD45_neg_2_A12_S588_comb,Mel78,Mal,post.treatment,Tirosh,9615,1057261
Cy71_CD45_E02_S530_comb,Mel71,Mal,treatment.naive,Tirosh,4346,111428
cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_E11_S347_comb,Mel79,Mal,treatment.naive,Tirosh,6629,119366
Cy71_CD45_B03_S495_comb,Mel71,Mal,treatment.naive,Tirosh,4774,172114
Cy81_FNA_CD45_C08_S320_comb,Mel81,Mal,treatment.naive,Tirosh,5491,255991
CY88_3_D03_S615_comb,Mel88,Mal,post.treatment,Tirosh,3759,90022
cy79_p5_CD45_neg_PDL1_pos_G03_S747_comb,Mel79,Mal,treatment.naive,Tirosh,4230,105341
CY89NEG_F04_S64_comb,Mel89,Mal,treatment.naive,Tirosh,7040,497812
Cy81_Bulk_CD45_C05_S125_comb,Mel81,Mal,treatment.naive,Tirosh,5275,330317
cy79_p4_CD45_neg_PDL1_pos_A12_S396_comb,Mel79,Mal,treatment.naive,Tirosh,4862,125499
cy79_p5_CD45_neg_PDL1_pos_H10_S766_comb,Mel79,Mal,treatment.naive,Tirosh,2465,31304
cy80_CD45_neg_D01_S901_comb,Mel80,Mal,treatment.naive,Tirosh,8482,116302
CY89NEG_D05_S41_comb,Mel89,Mal,treatment.naive,Tirosh,6856,538326
cy80_CD45_neg_C02_S890_comb,Mel80,Mal,treatment.naive,Tirosh,8368,142872
CY88_3_D09_S621_comb,Mel88,Mal,post.treatment,Tirosh,5089,156618
cy78_CD45_neg_1_D01_S517_comb,Mel78,Mal,post.treatment,Tirosh,8033,388491
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_B04_S16_comb,Mel79,Mal,treatment.naive,Tirosh,5696,122084
cy78_CD45_neg_3_B01_S685_comb,Mel78,Mal,post.treatment,Tirosh,7426,290594
cy80_CD45_neg_E10_S922_comb,Mel80,Mal,treatment.naive,Tirosh,2804,7018
cy79_p4_CD45_neg_PDL1_neg_H04_S1144_comb,Mel79,Mal,treatment.naive,Tirosh,4288,124074
cy79_p4_CD45_neg_PDL1_neg_C02_S1082_comb,Mel79,Mal,treatment.naive,Tirosh,4501,155624
cy78_CD45_neg_1_B11_S503_comb,Mel78,Mal,post.treatment,Tirosh,8180,620554
CY88_3_A07_S583_comb,Mel88,Mal,post.treatment,Tirosh,6863,303301
cy79_p4_CD45_neg_PDL1_pos_C11_S419_comb,Mel79,Mal,treatment.naive,Tirosh,5056,178195
CY88_5_C02_S698_comb,Mel88,Mal,post.treatment,Tirosh,4637,104539
cy79_p4_CD45_neg_PDL1_neg_G03_S1131_comb,Mel79,Mal,treatment.naive,Tirosh,4740,151724
cy78_CD45_neg_2_B10_S598_comb,Mel78,Mal,post.treatment,Tirosh,8753,329498
Cy71_CD45_F01_S541_comb,Mel71,Mal,treatment.naive,Tirosh,4177,86665
cy79_p4_CD45_neg_PDL1_neg_F07_S1123_comb,Mel79,Mal,treatment.naive,Tirosh,5539,204764
cy79_p4_CD45_neg_PDL1_neg_C09_S1089_comb,Mel79,Mal,treatment.naive,Tirosh,4347,95792
cy79_p5_CD45_neg_PDL1_neg_D10_S814_comb,Mel79,Mal,treatment.naive,Tirosh,4310,93524
CY89NEG_F08_S68_comb,Mel89,Mal,treatment.naive,Tirosh,6663,373389
CY89CORE11_D05_S137_comb,Mel89,Mal,treatment.naive,Tirosh,5914,317841
cy78_CD45_neg_1_B06_S498_comb,Mel78,Mal,post.treatment,Tirosh,8398,349532
CY88_3_A02_S578_comb,Mel88,Mal,post.treatment,Tirosh,4350,98224
cy81_Bulk_CD45_neg_G04_S172_comb,Mel81,Mal,treatment.naive,Tirosh,9511,675216
cy79_p5_CD45_neg_PDL1_neg_F08_S836_comb,Mel79,Mal,treatment.naive,Tirosh,2200,13153
cy79_p3_CD45_neg_PDL1_neg_E01_S241_comb,Mel79,Mal,treatment.naive,Tirosh,4781,131861
CY89CORE11_A03_S99_comb,Mel89,Mal,treatment.naive,Tirosh,6219,341784
cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_D08_S332_comb,Mel79,Mal,treatment.naive,Tirosh,3811,69269
cy78_CD45_neg_1_H03_S567_comb,Mel78,Mal,post.treatment,Tirosh,6688,231414
cy79_p4_CD45_neg_PDL1_neg_D11_S1103_comb,Mel79,Mal,treatment.naive,Tirosh,5799,124003
Cy71_CD45_G05_S557_comb,Mel71,Mal,treatment.naive,Tirosh,5035,30158
cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_F03_S351_comb,Mel79,Mal,treatment.naive,Tirosh,5324,70204
cy79_p3_CD45_neg_PDL1_neg_C10_S226_comb,Mel79,Mal,treatment.naive,Tirosh,4815,137013
CY89NEG_A07_S7_comb,Mel89,Mal,treatment.naive,Tirosh,5868,317830
cy79_p4_CD45_neg_PDL1_neg_F09_S1125_comb,Mel79,Mal,treatment.naive,Tirosh,2444,251919
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_C05_S125_comb,Mel79,Mal,treatment.naive,Tirosh,5040,66570
cy78_CD45_neg_3_E07_S727_comb,Mel78,Mal,post.treatment,Tirosh,5565,222059
cy79_p5_CD45_neg_PDL1_pos_G07_S751_comb,Mel79,Mal,treatment.naive,Tirosh,4358,61275
cy79_p3_CD45_neg_PDL1_neg_C09_S225_comb,Mel79,Mal,treatment.naive,Tirosh,5251,114726
cy78_CD45_neg_1_G12_S564_comb,Mel78,Mal,post.treatment,Tirosh,7505,448060
cy84_Primary_CD45_neg_E05_S1013_comb,Mel84,Mal,treatment.naive,Tirosh,6975,383760
cy81_Bulk_CD45_neg_G07_S175_comb,Mel81,Mal,treatment.naive,Tirosh,3159,86460
cy79_p3_CD45_neg_PDL1_neg_B09_S213_comb,Mel79,Mal,treatment.naive,Tirosh,4487,100438
cy78_CD45_neg_3_H02_S758_comb,Mel78,Mal,post.treatment,Tirosh,7007,262402
cy78_CD45_neg_3_F09_S741_comb,Mel78,Mal,post.treatment,Tirosh,5912,163736
cy79_p3_CD45_neg_PDL1_neg_H02_S278_comb,Mel79,Mal,treatment.naive,Tirosh,5529,532229
cy79_p5_CD45_neg_PDL1_pos_G04_S748_comb,Mel79,Mal,treatment.naive,Tirosh,5205,160024
cy79_p4_CD45_neg_PDL1_pos_B06_S402_comb,Mel79,Mal,treatment.naive,Tirosh,4437,127082
cy79_p3_CD45_neg_PDL1_neg_C02_S218_comb,Mel79,Mal,treatment.naive,Tirosh,4421,115521
Cy81_FNA_CD45_F03_S351_comb,Mel81,Mal,treatment.naive,Tirosh,5859,243495
CY89FNAQ2_G05_S461_comb,Mel89,Mal,treatment.naive,Tirosh,6043,395623
cy79_p5_CD45_neg_PDL1_pos_F05_S737_comb,Mel79,Mal,treatment.naive,Tirosh,2687,14457
cy60_1_cd_45_neg_3_F09_S549_comb,Mel60,Mal,post.treatment,Tirosh,8264,470458
CY88_3_B08_S596_comb,Mel88,Mal,post.treatment,Tirosh,5701,347292
cy79_p4_CD45_neg_PDL1_neg_A11_S1067_comb,Mel79,Mal,treatment.naive,Tirosh,3576,35865
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_E05_S53_comb,Mel79,Mal,treatment.naive,Tirosh,6292,112378
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_E01_S145_comb,Mel79,Mal,treatment.naive,Tirosh,2897,9853
CY89NEG_B01_S13_comb,Mel89,Mal,treatment.naive,Tirosh,4453,74990
cy79_p4_CD45_neg_PDL1_neg_G06_S1134_comb,Mel79,Mal,treatment.naive,Tirosh,5011,194531
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_A11_S11_comb,Mel79,Mal,treatment.naive,Tirosh,5048,72862
CY88_3_G03_S651_comb,Mel88,Mal,post.treatment,Tirosh,6826,462597
CY89FNAQ2_C06_S414_comb,Mel89,Mal,treatment.naive,Tirosh,4838,151288
Cy81_Bulk_CD45_B05_S113_comb,Mel81,Mal,treatment.naive,Tirosh,8036,388861
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_G05_S77_comb,Mel79,Mal,treatment.naive,Tirosh,7032,96362
CY88_3_H08_S668_comb,Mel88,Mal,post.treatment,Tirosh,5300,48597
Cy71_CD45_F07_S547_comb,Mel71,Mal,treatment.naive,Tirosh,4506,115794
cy80_CD45_neg_C03_S891_comb,Mel80,Mal,treatment.naive,Tirosh,7117,207598
CY89CORE11_B08_S116_comb,Mel89,Mal,treatment.naive,Tirosh,6652,494476
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_G11_S83_comb,Mel79,Mal,treatment.naive,Tirosh,3947,30777
cy78_CD45_neg_1_A11_S491_comb,Mel78,Mal,post.treatment,Tirosh,7265,567813
cy79_p5_CD45_neg_PDL1_pos_B09_S693_comb,Mel79,Mal,treatment.naive,Tirosh,4305,105289
cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_G06_S366_comb,Mel79,Mal,treatment.naive,Tirosh,4521,32648
cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_G01_S361_comb,Mel79,Mal,treatment.naive,Tirosh,2234,11012
CY88_5_A05_S677_comb,Mel88,Mal,post.treatment,Tirosh,7256,285649
CY89CORE11_E12_S156_comb,Mel89,Mal,treatment.naive,Tirosh,4854,36506
cy79_p5_CD45_neg_PDL1_neg_D05_S809_comb,Mel79,Mal,treatment.naive,Tirosh,3244,18520
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_F10_S70_comb,Mel79,Mal,treatment.naive,Tirosh,5449,77332
Cy80_II_CD45_C02_S890_comb,Mel80,Mal,treatment.naive,Tirosh,8666,263165
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_F02_S62_comb,Mel79,Mal,treatment.naive,Tirosh,5805,96067
Cy80_II_CD45_F01_S925_comb,Mel80,Mal,treatment.naive,Tirosh,4401,319356
cy79_p4_CD45_neg_PDL1_neg_G12_S1140_comb,Mel79,Mal,treatment.naive,Tirosh,3194,27398
CY88_3_B09_S597_comb,Mel88,Mal,post.treatment,Tirosh,6679,639241
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_E02_S50_comb,Mel79,Mal,treatment.naive,Tirosh,5991,90924
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_C12_S132_comb,Mel79,Mal,treatment.naive,Tirosh,4487,43570
CY88_5_C01_S697_comb,Mel88,Mal,post.treatment,Tirosh,4455,111492
